Symbol,Company Name,Industry,MarketCap_Cr
SUPRIYA,Supriya Lifescience Ltd.,Healthcare,6935
SURYAROSNI,Surya Roshni Ltd.,Capital Goods,5531
SWANCORP,Swan Corp Ltd.,Chemicals,9888
SWSOLAR,Sterling and Wilson Renewable Energy Ltd.,Construction,5428
SYNGENE,Syngene International Ltd.,Healthcare,16537
TANLA,Tanla Platforms Ltd.,Information Technology,6967
TARC,TARC Ltd.,Realty,3667
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,9674
TATACHEM,Tata Chemicals Ltd.,Chemicals,18098
TATAELXSI,Tata Elxsi Ltd.,Information Technology,22575
TBOTEK,TBO Tek Ltd.,Consumer Services,15819
TDPOWERSYS,TD Power Systems Ltd.,Capital Goods,16873
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,12158
TEGA,Tega Industries Ltd.,Capital Goods,12332
TEJASNET,Tejas Networks Ltd.,Telecommunication,9510
TEXRAIL,Texmaco Rail & Eng. Ltd.,Capital Goods,4537
THANGAMAYL,Thangamayil Jewellery Ltd.,Consumer Durables,21154
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,16050
THOMASCOOK,Thomas Cook (India) Ltd.,Consumer Services,4819
THYROCARE,Thyrocare Technologies Ltd.,Healthcare,8303
TI,Tilaknagar Industries Ltd.,Fast Moving Consumer Goods,10900
TIMETECHNO,Time Technoplast Ltd.,Capital Goods,8598
TIMKEN,Timken India Ltd.,Capital Goods,24090
TIPSMUSIC,Tips Music Ltd.,Media Entertainment & Publication,8545
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,11004
TMB,Tamilnad Mercantile Bank Ltd.,Financial Services,11891
TRANSRAILL,Transrail Lighting Ltd.,Capital Goods,6542
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,17081
TRIDENT,Trident Ltd.,Textiles,12810
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,19490
TSFINV,TSF Investments Ltd.,Financial Services,10299
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,7884
TVSSCS,TVS Supply Chain Solutions Ltd.,Services,5950
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,Financial Services,11600
URBANCO,Urban Company Ltd.,Consumer Services,19421
USHAMART,Usha Martin Ltd.,Capital Goods,14905
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,12486
UTLSOLAR,Fujiyama Power Systems Ltd.,Capital Goods,10654
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,13644
VTL,Vardhman Textiles Ltd.,Textiles,18050
WELSPUNLIV,Welspun Living Ltd.,Textiles,15339
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,9902
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,9563
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,10229
ZENTEC,Zen Technologies Ltd.,Capital Goods,16356
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,17814
